initiales_club,nb,pct_flw_estim_fakes,nbOK,pctOK
ACA,103005,41,60772.95,0.59
AJA,64771,49,33033.21,0.51
ASB,4089,24,3107.64,0.76
ASC,43965,31,30335.85,0.69
ASM,2054003,35,1335101.95,0.65
ASNL,84982,41,50139.38,0.59
ASSE,733447,48,381392.44,0.52
CF,55117,46,29763.18,0.54
CN,37716,33,25269.72,0.67
DFCO,90281,47,47848.93,0.53
EAG,257509,50,128754.5,0.5
ESTAC,77014,46,41587.56,0.54
FCGB,348615,45,191738.25,0.55
FCL,262268,58,110152.56,0.42
FCM,144447,45,79445.85,0.55
FCN,498210,47,264051.3,0.53
FCSM,172268,46,93024.72,0.54
GF,8789,29,6240.19,0.71
GFCA,38846,37,24472.98,0.63
HAC,57356,45,31545.8,0.55
LBC,10973,35,7132.45,0.65
LOSC,657426,49,335287.26,0.51
MHSC,330099,51,161748.51,0.49
NO,62124,33,41623.08,0.67
OGCN,407612,47,216034.36,0.53
OL,1556658,32,1058527.44,0.68
OM,2947855,20,2358284,0.8
PFC,25068,34,16544.88,0.66
PSG,6509574,13,5663329.38,0.87
RCL,214774,48,111682.48,0.52
RCSA,116082,33,77774.94,0.67
RS,26892,38,16673.04,0.62
SB,55681,37,35079.03,0.63
SCB,298812,53,140441.64,0.47
SCO,99466,46,53711.64,0.54
SL,41209,41,24313.31,0.59
SMC,199195,49,101589.45,0.51
SR,100001,47,53000.53,0.53
SRFC,313004,56,137721.76,0.44
TFC,451184,44,252663.04,0.56
TOFC,45882,39,27988.02,0.61
USO,26113,29,18540.23,0.71
VAFC,119443,51,58527.07,0.49
