id,dist_deb_max,dist_deb_min,id_rn,nom_rn,dist_deb_moy
1,10000,0,329,Hurepoix,5000
2,80000,10000,327,Brie,45000
3,110000,80000,262,Sénonais,95000
4,155000,110000,245,Pays d'Othe,132500
5,200000,155000,247,Tonnerrois,177500
6,215000,200000,251,Avallonnais,207500
7,260000,215000,250,Auxois,237500
8,305000,260000,253,Autunois,282500
9,320000,305000,265,Châlonnais,312500
10,365000,320000,259,Mâconnais,342500
11,380000,365000,187,Bresse,372500
12,410000,380000,196,Dombes,395000
13,455000,410000,197,Lyonnais,432500
14,500000,455000,208,Terres Froides,477500
15,560000,500000,211,Valentinois,530000
16,590000,560000,212,Valdaine,575000
17,605000,590000,213,Tricastin,597500
18,620000,605000,234,Bas-Vivarais,612500
19,650000,620000,71,Garrigues,635000
20,680000,650000,183,Comtat Venaissin,665000
21,710000,680000,184,Crau,695000
22,740000,710000,182,Pays d'Aix,725000
23,750000,740000,181,Marseillais,745000
