id,dist_deb_max,dist_deb_min,DEP,dist_deb_moy,LIBGEO
1,1000,0,75,500,Paris
2,20000,1000,94,10500,Val-de-Marne
3,80000,20000,77,50000,Seine-et-Marne
4,215000,80000,89,147500,Yonne
5,260000,215000,21,237500,Côte-d'Or
6,365000,260000,71,312500,Saône-et-Loire
7,410000,365000,01,387500,Ain
8,455000,410000,69,432500,Rhône
9,485000,455000,38,470000,Isère
10,605000,485000,26,545000,Drôme
11,635000,605000,84,620000,Vaucluse
12,650000,635000,30,642500,Gard
13,665000,650000,13,657500,Bouches-du-Rhône
14,680000,665000,84,672500,Vaucluse
15,740000,680000,13,710000,Bouches-du-Rhône
