INSEE_DEP,pop
01,652432
02,531345
03,335975
04,164308
05,141220
06,1094283
07,328278
08,270582
09,153287
10,310242
11,374070
12,279595
13,2043110
14,694905
15,144692
16,352015
17,651358
18,302306
19,240073
21,534124
22,600582
23,116617
24,413223
25,543974
26,516762
27,599507
28,431575
29,915090
2A,158507
2B,181933
30,748437
31,1400039
32,191377
33,1623749
34,1175623
35,1079498
36,219316
37,610079
38,1271166
39,259199
40,413690
41,329470
42,765634
43,227570
44,1429272
45,680434
46,174094
47,331271
48,76604
49,818273
50,495045
51,566855
52,172512
53,307062
54,733760
55,184083
56,759684
57,1046543
58,204452
59,2608346
60,829419
61,279942
62,1465278
63,662152
64,682621
65,229567
66,479979
67,1140057
68,767086
69,1875747
70,235313
71,551493
72,566412
73,436434
74,826094
75,2165423
76,1255633
77,1421197
78,1448207
79,374878
80,570559
81,389844
82,260669
83,1076711
84,561469
85,685442
86,438435
87,372359
88,364499
89,335707
90,141318
91,1301659
92,1624357
93,1644903
94,1407124
95,1249674
