CODGEO,lib_voie_simp,nb
01053,BOURG-EN-BRESSE,11
02408,LAON,54
03190,MOULINS,66
04070,DIGNE-LES-BAINS,11
05061,GAP,13
06088,NICE,93
07186,PRIVAS,6
08105,CHARLEVILLE-MEZIERES,29
09122,FOIX,27
10387,TROYES,50
11069,CARCASSONNE,57
12202,RODEZ,43
13055,MARSEILLE,99
14118,CAEN,120
15014,AURILLAC,26
16015,ANGOULEME,82
17300,LA ROCHELLE,142
18033,BOURGES,84
19272,TULLE,18
21231,DIJON,155
22278,SAINT-BRIEUC,33
23096,GUERET,49
24322,PERIGUEUX,51
25056,BESANCON,96
26362,VALENCE,71
27229,EVREUX,43
28085,CHARTRES,102
29232,QUIMPER,58
2A004,AJACCIO,14
2B033,BASTIA,16
30189,NIMES,88
31555,TOULOUSE,248
32013,AUCH,32
33063,BORDEAUX,250
34172,MONTPELLIER,91
35238,RENNES,143
36044,CHATEAUROUX,45
37261,TOURS,190
38185,GRENOBLE,89
39300,LONS-LE-SAUNIER,12
40192,MONT-DE-MARSAN,53
41018,BLOIS,89
42218,SAINT-ETIENNE,329
43157,LE PUY-EN-VELAY,4
44109,NANTES,199
45234,ORLEANS,235
46042,CAHORS,27
47001,AGEN,39
48095,MENDE,14
49007,ANGERS,73
50502,SAINT-LO,41
51108,CHALONS-EN-CHAMPAGNE,116
52121,CHAUMONT,121
53130,LAVAL,113
54395,NANCY,165
55029,BAR-LE-DUC,14
56260,VANNES,76
57463,METZ,345
58194,NEVERS,44
59350,LILLE,139
60057,BEAUVAIS,194
61001,ALENCON,48
62041,ARRAS,161
63113,CLERMONT-FERRAND,173
64445,PAU,87
65440,TARBES,58
66136,PERPIGNAN,50
67482,STRASBOURG,384
68066,COLMAR,131
69123,LYON,285
70550,VESOUL,46
71270,MACON,67
72181,LE MANS,106
73065,CHAMBERY,45
74010,ANNECY,56
75056,PARIS,987
76540,ROUEN,183
77288,MELUN,64
78646,VERSAILLES,180
79191,NIORT,51
80021,AMIENS,141
81004,ALBI,60
82121,MONTAUBAN,121
83137,TOULON,73
84007,AVIGNON,100
85191,LA ROCHE-SUR-YON,24
86194,POITIERS,96
87085,LIMOGES,113
88160,EPINAL,66
89024,AUXERRE,69
90010,BELFORT,192
91228,EVRY,8
92050,NANTERRE,2
93008,BOBIGNY,3
94028,CRETEIL,1
95500,PONTOISE,73
